
k_cappadocia;Cappadocia;Gallic;;German;;Spanish;;;;;;;;;x
etruscan_group;Villanovan;Vocontii;;German;;Spanish;;;;;;;;;x
tectosagii;Volcae Tectosagii;Volcae Tectosagii;;German;;Spanish;;;;;;;;;x
vocontii;Vocontii;Vocontii;;German;;Spanish;;;;;;;;;x
insubri;Insubrian;Insubrian;;German;;Spanish;;;;;;;;;x
temple_baron_celtic_polytheisms;Druids;Insubrian;;German;;Spanish;;;;;;;;;x
temple_baron_celtic_polytheism;Druid;Insubrian;;German;;Spanish;;;;;;;;;x
temple_count_celtic_polytheism;Great Druid;Insubrian;;German;;Spanish;;;;;;;;;x
volcae;Volcae Arecomici;Volcae Arecomici;;German;;Spanish;;;;;;;;;x
suebi;Suebi;Suebi;;German;;Spanish;;;;;;;;;x
PROV2034;Kerkuane;;German;;Spanish;;;;;;;;;x
PROV2035;Segermes;;German;;Spanish;;;;;;;;;x
d_sabinia;Sabinia;;German;;Spanish;;;;;;;;;x
d_akragas;Akragas;;German;;Spanish;;;;;;;;;x
d_veii;Veii;;German;;Spanish;;;;;;;;;x
b_arykanda;Xanthos;;German;;Spanish;;;;;;;;;x
b_olympiamod;Epitalion;;German;;Spanish;;;;;;;;;x
b_olympiamod2;Olympia;;German;;Spanish;;;;;;;;;x
b_olympiamod3;Letrinoi;;German;;Spanish;;;;;;;;;x
b_elismod1;Elis;;German;;Spanish;;;;;;;;;x
b_elismod2;Hyrmine;;German;;Spanish;;;;;;;;;x
b_elismod3;Myrsinos;;German;;Spanish;;;;;;;;;x
b_patraimod1;Patrae;;German;;Spanish;;;;;;;;;x
b_patraimod2;Olenos;;German;;Spanish;;;;;;;;;x
b_patraimod3;Erineos;;German;;Spanish;;;;;;;;;x
b_epidauros1;Epidauros;;German;;Spanish;;;;;;;;;x
b_epidauros2;Philanorion;;German;;Spanish;;;;;;;;;x
b_epidauros3;Spiraion;;German;;Spanish;;;;;;;;;x
b_troizen1;Troizen;;German;;Spanish;;;;;;;;;x
b_troizen2;Hermione;;German;;Spanish;;;;;;;;;x
b_troizen3;Methana;;German;;Spanish;;;;;;;;;x
b_mothone1;Mothone;;German;;Spanish;;;;;;;;;x
b_megara1;Megara;;German;;Spanish;;;;;;;;;x
b_megara2;Pagai;;German;;Spanish;;;;;;;;;x
b_mothone2;Asine;;German;;Spanish;;;;;;;;;x
b_oroposmod1;Oropos;Karydi;Karydi;;Karydi;;;;;;;;;x
b_oroposmod2;Rhamnous;Karydi;Karydi;;Karydi;;;;;;;;;x
b_orchomenos1;Akraiphiai;Karydi;Karydi;;Karydi;;;;;;;;;x
b_orchomenos2;Haliartos;Karydi;Karydi;;Karydi;;;;;;;;;x
b_oroposmod3;Ikarion;Karydi;Karydi;;Karydi;;;;;;;;;x
b_dios_hieron;Dios Hieron;;German;;Spanish;;;;;;;;;x
b_stratonicaea;Stratonicaea;;German;;Spanish;;;;;;;;;x
b_aleia;Pityaia;;German;;Spanish;;;;;;;;;x
b_hyssa;Apollonis;;German;;Spanish;;;;;;;;;x
b_mothone3;Korone;;German;;Spanish;;;;;;;;;x
b_mothone1;Asine;;German;;Spanish;;;;;;;;;x
b_leuktronmod;Leuktron;;German;;Spanish;;;;;;;;;x
b_leuktronmod2;Thalamai;;German;;Spanish;;;;;;;;;x
b_pharsalos2;Pyrasos;;German;;Spanish;;;;;;;;;x
b_nikopolismod1;Nikopolis;;German;;Spanish;;;;;;;;;x
b_nikopolismod2;Kassope;;German;;Spanish;;;;;;;;;x
b_nikopolismod3;Orraon;;German;;Spanish;;;;;;;;;x
b_omphalion2;Hekatompedon;;German;;Spanish;;;;;;;;;x
b_omphalion3;Konitsa;;German;;Spanish;;;;;;;;;x
b_keletron1;Keletron;;German;;Spanish;;;;;;;;;x
b_keletron2;Pelion;;German;;Spanish;;;;;;;;;x
b_keletron3;Battyna;;German;;Spanish;;;;;;;;;x
b_apollonia1;Apollonia;;German;;Spanish;;;;;;;;;x
b_apollonia2;Dimalion;;German;;Spanish;;;;;;;;;x
b_lissos1;Lissos;;German;;Spanish;;;;;;;;;x
b_lissos2;Akrolissos;;German;;Spanish;;;;;;;;;x
b_apollonia3;Orikos;;German;;Spanish;;;;;;;;;x
b_phoinike1;Phoinike;;German;;Spanish;;;;;;;;;x
b_phoinike2;Paramythia;;German;;Spanish;;;;;;;;;x
b_phoinike3;Phanota;;German;;Spanish;;;;;;;;;x
b_oichalia1;Amphikleia;Karydi;Karydi;;Karydi;;;;;;;;;x
b_oichalia2;Sosthenis;Karydi;Karydi;;Karydi;;;;;;;;;x
b_oichalia3;Kastriotissa;Karydi;Karydi;;Karydi;;;;;;;;;x
b_epiraudoss1;Epirauros Limera;;German;;Spanish;;;;;;;;;x
b_epiraudoss2;Kyparissia;;German;;Spanish;;;;;;;;;x
b_epiraudoss3;Boiai;;German;;Spanish;;;;;;;;;x
b_mothone1;Asine;;German;;Spanish;;;;;;;;;x
b_kyphanta1;Kyphanta;;German;;Spanish;;;;;;;;;x
