hoplite_leader;Hoplite Leader;French Former Centurio;German;;Spanish;;;;;;;;;x
hoplite_leader_desc;This character has served in the ranks of a Phalanx, leading hundreds of men into batte through many campaigns, they prefer the combat style of Hoplites and massed infantry formation known as the phalanx.;Ce personage est Égoïste et ne pense que pour lui;German;;Spanish;;;;;;;;;x
greek_thinker;Philosopher;Philosopher;German;;Spanish;;;;;;;;;x
greek_thinker_desc;This character is known to be a thinker and philosopher, their insights are held in esteem;Ce personage est Égoïste et ne pense que pour lui;German;;Spanish;;;;;;;;;x
isis_follower;Follower of Isis;Follower of Isis;German;;Spanish;;;;;;;;;x
isis_follower_desc;This character is a follower of Isis, the Egyptian goddess of nature and often revered as the mother of the Pharaoh;Ce personage est Égoïste et ne pense que pour lui;German;;Spanish;;;;;;;;;x
k_egypt2;Upper Egypt;Follower of Isis;German;;Spanish;;;;;;;;;x
k_egypt2_adj;Egyptian;Égyptienne;Ägyptischer;;Egipcia;;;;;;;;;x
e_egypt;Egyptian Empire;Follower of Isis;German;;Spanish;;;;;;;;;x
wonder_apadana_palace_desc;The height of Persian architecture, constructed by the Great Kings to house the Royal Court, conduct their day-to-day administration, & receive tribute from their subjects.;Ce personage est Égoïste et ne pense que pour lui;German;;Spanish;;;;;;;;;x
b_kath;Kath;Follower of Isis;German;;Spanish;;;;;;;;;x
d_iqer;Iqer;Follower of Isis;German;;Spanish;;;;;;;;;x
PROV2136;In-Ta-Neferet;French;German;;Spanish;;;;;;;;;x
d_cult_serapis;High Priestship;French;German;;Spanish;;;;;;;;;x
EGYHIGHPRIEST;High Priest of Ptah;French;German;;Spanish;;;;;;;;;x
EGYHIGHPRIESTA;High Priestess of Ptah;French;German;;Spanish;;;;;;;;;x
EGYHIGHPRIEST_FOA;Your Excellency;French;German;;Spanish;;;;;;;;;x
b_egyprovb1;Isut-Heru;French;German;;Spanish;;;;;;;;;x
b_egyprovb2;Meskhenet-en-Iset;French;German;;Spanish;;;;;;;;;x
d_phoenicia;Phoenicia;French;German;;Spanish;;;;;;;;;x
d_phoenicia_ADJ;Phoenician;French;German;;Spanish;;;;;;;;;x
b_egyprovb3;Iset-Djeser;French;German;;Spanish;;;;;;;;;x
PROV2135;Men'at Khufu;French;German;;Spanish;;;;;;;;;x
k_sunni;High Priesthood of Amun;French;German;;Spanish;;;;;;;;;x
b_egyprova1;Khemenu;French;German;;Spanish;;;;;;;;;x
b_egyprova2;Pakhet;French;German;;Spanish;;;;;;;;;x
mithraic_DESC;Mithraic TEMP needs revision;French;German;;Spanish;;;;;;;;;x
GOD_MITHRAS;Mithras;French;German;;Spanish;;;;;;;;;x
indo_european;Indo-European;French;German;;Spanish;;;;;;;;;x
DEMESNE;Domain;Domaine;Domäne;;Heredad;;;;;;;;;x
