#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###Han
baron_han;Ling;Ling;Ling;;Ling;;;;;;;;;x
baron_female_han;Furen;Furen;Furen;;Furen;;;;;;;;;x
count_han;Cishi;Cishi;Cishi;;Cishi;;;;;;;;;x
count_female_han;Furen;Furen;Furen;;Furen;;;;;;;;;x
duke_han;Jiedushi;Jiedushi;Jiedushi;;Jiedushi;;;;;;;;;x
duke_female_han;Furen;Furen;Furen;;Furen;;;;;;;;;x
king_han;Wang;Wang;Wang;;Wang;;;;;;;;;x
king_female_han;Wanghou;Wanghou;Wanghou;;Wanghou;;;;;;;;;x
king_title_queen_mother_female_han;Wangtaihou;;;;;;;;;;;;;x
emperor_han;Huangdi;;;;;;;;;;;;;x
emperor_female_han;Huanghou;;;;;;;;;;;;;x
emperor_title_queen_mother_female_han;Huangtaihou;Huangtaihou;Huangtaihou;;Huangtaihou;;;;;;;;;x
title_prince_han;Wangzi;;;;;;;;;;;;;x
title_prince_female_han;Gongzhu;;;;;;;;;;;;;x
emperor_title_prince_han;Huangzi;;;;;;;;;;;;;x

city_barony_of_han;Xian;;;;;;;;;;;;;x
county_han;Prefecture;;;;;;;;;;;;;x
county_of_han;Prefecture of;;;;;;;;;;;;;x
duchy_han;Circuit;;;;;;;;;;;;;x
duchy_of_han;Circuit of;;;;;;;;;;;;;x

job_chancellor_han;Zaixiang;Zaixiang;Zaixiang;;Zaixiang;;;;;;;;;x
job_marchal_han;Taiyi;Taiyi;Taiyi;;Taiyi;;;;;;;;;x
job_spiritual_han;Guoshi;Guoshi;Guoshi;;Guoshi;;;;;;;;;x

###Shatuo
baron_shatuo;Ling;Ling;Ling;;Ling;;;;;;;;;x
baron_female_shatuo;Furen;Furen;Furen;;Furen;;;;;;;;;x
count_shatuo;Cishi;Cishi;Cishi;;Cishi;;;;;;;;;x
count_female_shatuo;Furen;Furen;Furen;;Furen;;;;;;;;;x
duke_shatuo;Jiedushi;Jiedushi;Jiedushi;;Jiedushi;;;;;;;;;x
duke_female_shatuo;Furen;Furen;Furen;;Furen;;;;;;;;;x
