#####
#Societies
#####

currency_name_rtp_stewardship;Influence;;;;;;x
currency_name_rtp_stewardship_europe;Influence;;;;;;x
currency_name_rtp_stewardship_africa;Influence;;;;;;x
currency_name_rtp_stewardship_asia_minor;Influence;;;;;;x
currency_name_rtp_stewardship_india;Influence;;;;;;x
currency_name_rtp_stewardship_persia;Influence;;;;;;x
currency_name_rtp_stewardship_middle_east;Influence;;;;;;x
currency_name_rtp_stewardship_steppe;Influence;;;;;;x
currency_name_rtp_stewardship_himalayas;Influence;;;;;;x

rtp_stewardship_europe;Quod Nostra;;;;;;x
rtp_stewardship_europe_desc;Literally “That Which is Ours”, Quod Nostra is a large, loose fraternity of tradesmen, merchants, seamen, and landowners united in search of wealth. Known for frequent attempts to standardize product quality and trade treatises, they also have a hand in local improvements such as roads...all to better trade, of course.;;;;;;x
rtp_stewardship_europe_leader_desc;This is the society leader.;;;;;;x
rtp_stewardship_europe_rank_1_male;Peddler;;;;;;x
rtp_stewardship_europe_rank_2_male;Trader;;;;;;x
rtp_stewardship_europe_rank_3_male;Merchant;;;;;;x
rtp_stewardship_europe_rank_4_male;Guild Master;;;;;;x
rtp_stewardship_europe_rank_1_female;Peddler;;;;;;x
rtp_stewardship_europe_rank_2_female;Trader;;;;;;x
rtp_stewardship_europe_rank_3_female;Merchant;;;;;;x
rtp_stewardship_europe_rank_4_female;Guild Master;;;;;;x

rtp_stewardship_africa;The Golden Hands;;;;;;x
rtp_stewardship_africa_desc;Well known as shrewd and often cutthroat traders, the Golden Hands are active in the exchange of gold, ebony, ivory, and slaves from southern African regions for salt and copper from the north. They have a reputation for ruthlessness, though whether truly deserved or not is hard to say for sure.;;;;;;x
rtp_stewardship_africa_leader_desc;This is the society leader.;;;;;;x
rtp_stewardship_africa_rank_1_male;Peddler;;;;;;x
rtp_stewardship_africa_rank_2_male;Trader;;;;;;x
rtp_stewardship_africa_rank_3_male;Merchant;;;;;;x
rtp_stewardship_africa_rank_4_male;Guild Master;;;;;;x
rtp_stewardship_africa_rank_1_female;Peddler;;;;;;x
rtp_stewardship_africa_rank_2_female;Trader;;;;;;x
rtp_stewardship_africa_rank_3_female;Merchant;;;;;;x
rtp_stewardship_africa_rank_4_female;Guild Master;;;;;;x

rtp_stewardship_asia_minor;Brotherhood of Spice;;;;;;x
rtp_stewardship_asia_minor_desc;Although their region is better known for metallurgic exports, the Brotherhood of Spice are said to have somewhat of a flair for the dramatic, hence their name. Members are highly knowledgeable about a very wide variety of goods and their worth, and have a reputation for traveling fancifully far to reach those interested in buying or selling.;;;;;;x
rtp_stewardship_asia_minor_leader_desc;This is the society leader.;;;;;;x
rtp_stewardship_asia_minor_rank_1_male;Peddler;;;;;;x
