#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
tm_create_duchy;Create duchy;;;;;;;;;;;;;x;
tm_create_duchy_desc;Create a titular duchy from the [Root.GetFullBaseName].;;;;;;;;;;;;;x;
tm_create_kingdom;Create kingdom;;;;;;;;;;;;;x;
tm_create_kingdom_desc;Create a titular kingdom from the [Root.GetFullBaseName].;;;;;;;;;;;;;x;
tm_create_empire;Create empire;;;;;;;;;;;;;x;
tm_create_empire_desc;Create a titular empire from the [Root.GetFullBaseName].;;;;;;;;;;;;;x;
tm_designate_recipient_duchy;Designate receiving duchy;;;;;;;;;;;;;x;
tm_designate_recipient_duchy_desc;Designate the [Root.GetFullBaseName] as the receiver for any future de jure county transfers. Any previously designated duchy will lose this designation.;;;;;;;;;;;;;x;
tm_designate_recipient_kingdom;Designate receiving kingdom;;;;;;;;;;;;;x;
tm_designate_recipient_kingdom_desc;Designate the [Root.GetFullBaseName] as the receiver for any future de jure duchy transfers. Any previously designated kingdom will lose this designation.;;;;;;;;;;;;;x;
tm_designate_recipient_empire;Designate receiving empire;;;;;;;;;;;;;x;
tm_designate_recipient_empire_desc;Designate the [Root.GetFullBaseName] as the receiver for any future de jure kingdom transfers. Any previously designated empire will lose this designation.;;;;;;;;;;;;;x;
tm_transfer_county_to_recipient_duchy;Transfer county;;;;;;;;;;;;;x;
tm_transfer_county_to_recipient_duchy_desc;The [Root.GetFullBaseName] becomes a de jure part of the currently designated duchy.;;;;;;;;;;;;;x;
tm_transfer_duchy_to_recipient_kingdom;Transfer duchy;;;;;;;;;;;;;x;
tm_transfer_duchy_to_recipient_kingdom_desc;The [Root.GetFullBaseName] becomes a de jure part of the currently designated kingdom.;;;;;;;;;;;;;x;
tm_transfer_kingdom_to_recipient_empire;Transfer kingdom;;;;;;;;;;;;;x;
tm_transfer_kingdom_to_recipient_empire_desc;The [Root.GetFullBaseName] becomes a de jure part of the currently designated empire.;;;;;;;;;;;;;x;
tm_tooltip_not_designated_duchy;[Root.GetBaseName] is not already the designated duchy\n;;;;;;;;;;;;;x;
tm_tooltip_not_designated_kingdom;[Root.GetBaseName] is not already the designated kingdom\n;;;;;;;;;;;;;x;
tm_tooltip_not_designated_empire;[Root.GetBaseName] is not already the designated empire\n;;;;;;;;;;;;;x;
tm_tooltip_is_designated_duchy;[Root.GetBaseName] is designated as the receiving duchy\n;;;;;;;;;;;;;x;
tm_tooltip_is_designated_kingdom;[Root.GetBaseName] is designated as the receiving kingdom\n;;;;;;;;;;;;;x;
tm_tooltip_is_designated_empire;[Root.GetBaseName] is designated as the receiving empire\n;;;;;;;;;;;;;x;
tm_tooltip_any_duchy_is_designated;There is one and only one designated duchy in the realm\n;;;;;;;;;;;;;x;
tm_tooltip_any_kingdom_is_designated;There is one and only one designated kingdom in the realm\n;;;;;;;;;;;;;x;
tm_tooltip_any_empire_is_designated;There is one and only one designated empire in the realm\n;;;;;;;;;;;;;x;
tm_tooltip_transfer;[This.GetFullBaseName] becomes the new de jure liege of [Root.GetFullBaseName]\n;;;;;;;;;;;;;x;
tm_tooltip_two_designated_duchy;There are at least two designated duchies in the realm;;;;;;;;;;;;;x;
tm_tooltip_two_designated_kingdom;There are at least two designated kingdoms in the realm;;;;;;;;;;;;;x;
tm_tooltip_two_designated_empire;There are at least two designated empires in the realm;;;;;;;;;;;;;x;
