### TOOLTIPS ###
mta_NEEDS_25_PRESTIGE_COST;Can afford cost of §R25.0§! Prestige\n;;;;;;;;;;;;;x
mta_NOT_RECRUITED_COURTIER_TWO_WEEKS;Have NOT recruited this type of courtier within the last 2 weeks\n;;;;;;;;;;;;;x
mta_NOT_IN_HIDING;Is NOT in hiding;;;;;;;;;x
mta_rape_impregnation_chance_FROM_TT;§Y[From.GetTitledFirstName]§! becomes pregnant with §Y[Root.GetTitledFirstName]§!'s child;;;;;;;;;;;;;x
mta_rape_impregnation_chance_ROOT_TT;§Y[Root.GetTitledFirstName]§! becomes pregnant with §Y[From.GetTitledFirstName]§!'s child;;;;;;;;;;;;;x
mta_free_and_join_me_THIS_TT;§Y[This.GetBestName]§! will be released from prison and join my court.;;;;;;;;;x
mta_free_and_join_me_TT;§Y[Root.GetBestName]§! will be released from prison and join my court.;;;;;;;;;x

#Reasons
mta_REASON_RELIGION;This option is available because you are §Y[Root.Religion.GetName]§!;;;;;;;;;x
mta_REASON_RELIGION_GROUP;This option is available because you are §Y[Root.Religion.GetGroupName]§!;;;;;;;;;x
mta_REASON_DOCTRINE_ENATIC_CLANS;This option is available because your religion has the §YEnatic Clans§! doctrine;;;;;;;;;x

#Slavery
mta_has_prisoners_TT;Has one or more prisoners;;;;;;;;;x
mta_has_slaves_TT;Has one or more slaves;;;;;;;;;x
mta_slavery_enabled_culture;§YCulture§! allows slavery;;;;;;;;;x
mta_slavery_enabled_religion;§YReligion§! allows slavery;;;;;;;;;x
mta_slavery_enabled_government;§YGovernment§! allows slavery;;;;;;;;;x
mta_slave_price_TT;§Y[FromFrom.GetTitledFirstName]§! will be sold for §Y[local_third_party_score.GetValue]§! gold.;;;;;;;;;x
mta_slave_price_worthless_TT;§Y[FromFrom.GetTitledFirstName]§! is not worth money.;;;;;;;;;x
mta_slave_price_not_worthless_TT;Is worth money;;;;;;;;;x
mta_slave_price_appropriate_tier_TT;Rank is NOT higher than §YCount§!;;;;;;;;;x
mta_slave_price_appropriate_age_TT;Age is greater or equal to §Y5§!;;;;;;;;;x
mta_slave_price_vassal_TT;Is NOT a landed vassal of §Y[Prev.GetBestName]§!;;;;;;;;;x
mta_slave_price_vassal_top_liege_TT;Is NOT a landed vassal of §Y[Prev.TopLiege.GetBestName]§!;;;;;;;;;x
mta_slave_landed_TT;Is NOT landed;;;;;;;;;x
mta_slave_hindu_caste_TT;Caste is NOT §YKshatriya§! or §YBrahmin§!;;;;;;;;;x
mta_slave_same_religion_group_TT;Does NOT publicly practice a religion in the §Y[From.Religion.GetGroupName]§! group;;;;;;;;;x
mta_slave_same_religion_group_county_TT;Is NOT in the §Y[From.Religion.GetGroupName]§! religion group;;;;;;;;;x
mta_slave_same_culture_TT;Does NOT have §Y[From.Culture.GetName]§! culture;;;;;;;;;x
mta_slave_same_culture_or_murderer_TT;Does NOT have §Y[From.Culture.GetName]§! culture or is a §YKnown Murderer§!;;;;;;;;;x
mta_slave_same_culture_county_TT;Does NOT have §Y[From.Culture.GetName]§! culture;;;;;;;;;x
mta_is_in_from_realm_TT;Is in the §Y[From.PrimaryTitle.GetFullName]§!;;;;;;;;;x
mta_is_tributary_TT;Holder is a Tributary of §Y[From.GetBestName]§!;;;;;;;;;x
mta_is_tributary_top_liege_TT;Holder is a Tributary of §Y[From.GetBestName]§!;;;;;;;;;x
mta_has_trade_post_TT;Has a Trade Post belonging to §Y[From.GetBestName]§!;;;;;;;;;x
mta_slaves_sold_TT;§YTotal Enslaved§!: [From.slaves_sold.GetValue]\n§YTotal Wealth Earned§!: §Y[From.slaves_sold_wealth.GetValue]§! ¤\n;;;;;;;;;x
mta_slaves_sold_none_TT;§YTotal Enslaved§!: 0\n§YTotal Wealth Earned§!: 0 ¤;;;;;;;;;x
