### CULTURE FEATURES ###
han_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
persian_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
arabic_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x

### RELIGION FEATURES ###
aztec_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
aztec_reformed_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
east_african_pagan_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
east_african_pagan_reformed_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
hindu_FEATURES;§Y*§! Can only declare Holy Wars against non-Dharmic religions\n§Y*§! Slavery is allowed;;;;;;;;;;;;;x
norse_pagan_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
west_african_pagan_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x
muslim_FEATURES;§Y*§! Slavery is allowed;;;;;;;;;;;;;x

religion_jizya_feature;Slavery is allowed;;;;;;;;;x
#religion_feature_hellenic_feature;Rulers follow the Hellenic principles of syncretism and meritocracy\n§Y*§! Slavery is allowed;Les seigneurs suivent les principes helléniques du syncrétisme et de la méritocratie;Herrscher folgen den hellenischen Prinzipien des Synkretismus und der Meritokratie;;Los gobernantes siguen los principios helénicos de sincretismo y meritocracia;;;;;;;;x;
religion_feature_west_african_feature;Religious Taxes and monastic traditions are enforced\n§Y*§! Slavery is allowed;Les impôts religieux et les traditions monastiques sont appliqués;Religiöse Steuern und Mönchstraditionen werden erzwungen;;Se aplican impuestos religiosos y tradiciones monásticas;;;;;;;;;x
tooltip_religion_feature_slavery;§GSlavery is allowed§!;;;;;;;;;x
