JOKAI;Jokai;;;;;;;;;;;;x;
ryukyuan_pagan;Ryukyuan;;;;;;;;;;;;x;
ryukyuan_pagan_DESC;Ryukyuan religion is the indigenous belief system of the Ryukyu Islands. It is largely based on ancestor veneration and concerned with relationships with the supernatural world. It is similar to Shinto but is also influenced by Polynesian religious beliefs and practices.;;;;;;;;;;;;x;
GOD_AMAMIKYO;Amamikyo;;;;;;;;;;;;x;
ryukyuan_pagan_reformed;Reformed Ryukyuan;;;;;;;;;;;;x;
ryukyuan_pagan_reformed_DESC;Ryukyuan religion is the indigenous belief system of the Ryukyu Islands. It is largely based on ancestor veneration and concerned with relationships with the supernatural world. It is similar to Shinto but is also influenced by Polynesian religious beliefs and practices.;;;;;;;;;;;;x;
korean_pagan;Korean;;;;;;;;;;;;x;
korean_pagan_DESC;Indigenous Korean polytheism;;;;;;;;;;;;x;
GOD_HANEULLIM;Haneullim;;;;;;;;;;;;x;
MU;Mu;;;;;;;;;;;;x;
GOD_SEONGMO;Seongmo;;;;;;;;;;;;x;
korean_pagan_reformed;Reformed Korean;;;;;;;;;;;;x;
korean_pagan_reformed_DESC;Indigenous Korean polytheism;;;;;;;;;;;;x;
chinese_pagan;Chinese;;;;;;;;;;;;x;
chinese_pagan_DESC;Indigenous Chinese polytheism;;;;;;;;;;;;x;
GOD_SHEN;Shen;;;;;;;;;;;;x;
GOD_XIHE;Xihe;;;;;;;;;;;;x;
GOD_LONGWANG;Longwang;;;;;;;;;;;;x;
GOD_LONGMU;Longmu;;;;;;;;;;;;x;
GOD_LEI_GONG;Lei Gong;;;;;;;;;;;;x;
GOD_BAOSHENGDADI;Baoshengdadi;;;;;;;;;;;;x;
GOD_TAIDI;Taidi;;;;;;;;;;;;x;
GOD_TIAN;Tian;;;;;;;;;;;;x;
chinese_pagan_reformed;Reformed Chinese;;;;;;;;;;;;x;
chinese_pagan_reformed_DESC;Indigenous Chinese polytheism;;;;;;;;;;;;x;
ainu_pagan;Ainu;;;;;;;;;;;;x;
