#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


####tooltip infos


ipc_admin_strategist_info;This option is available due to you having the §YAdministrator§! or §YStrategist§! trait.;;;;;;;;;;;;;x
ipc_admin_architect_info;This option is available due to you having the §YAdministrator§! or §YArchitect§! trait.;;;;;;;;;;;;;x
ipc_king_info;This option is available due to you being a §YKing§!.;;;;;;;;;;;;;x
ipc_low_influence_info;This option is available due to the §YImperial Court's§! influence being §Glow§!.;;;;;;;;;;;;;x
ipc_high_influence_info;This option is available due to the §YImperial Court's§! influence being §Rhigh§!.;;;;;;;;;;;;;x





#############Maintenance Events#################


EVTDESAipcm.010;[From.GetTitledName] has inherited the [From.PrimaryTitle.GetName], but is too young to manage court life. Until [From.GetSheHe] comes of age, control of the Imperial Court will be in the hands of the [From.GetImperialRegentAssignableOffice].;;;;;;;;;;;;;x
EVTDESBipcm.010;[From.GetTitledName] has inherited the [From.PrimaryTitle.GetName] and has taken direct control of affairs of state. Long live the [From.GetTitle]!;;;;;;;;;;;;;x
EVTDESCipcm.010;[From.GetTitledName] has inherited the [From.PrimaryTitle.GetName]. [From.GetSheHeCap] has decided to appoint a [From.GetImperialRegentAssignableOffice] to manage court life in [From.GetHerHis] stead.;;;;;;;;;;;;;x
EVTDESDipcm.010;[From.GetTitledName] has usurped the [From.PrimaryTitle.GetName] from [previous_emperor.GetBestName]. [From.GetSheHeCap] has taken direct control of affairs of state.;;;;;;;;;;;;;x
EVTDESEipcm.010;[From.GetTitledName] has usurped the [From.PrimaryTitle.GetName] from [previous_emperor.GetBestName]. [From.GetSheHeCap] has decided to appoint a [From.GetImperialRegentAssignableOffice] to manage court life in [From.GetHerHis] stead.;;;;;;;;;;;;;x
EVTDESFipcm.010;[From.GetTitledName] has decided that [imperial_regent.GetBestName]'s services are no longer required and has taked direct control of court affairs. With the removal of the [From.GetImperialRegentAssignableOffice], the Imperial Court's influence has decreased.;;;;;;;;;;;;;x
EVTDESGipcm.010;[From.GetTitledName] is unhappy with the current [From.GetImperialRegentAssignableOffice] and has transferred the office to [new_regent.GetBestName]. Let us hope the new [From.GetImperialRegentAssignableOffice] does not disappoint the [From.GetTitle].;;;;;;;;;;;;;x
EVTOPTAipcm.010;Interesting...;;;;;;;;;;;;;x

EVTDESAipcm.012;I have inherited the [Root.PrimaryTitle.GetName] from my predecessor, but I am too young to manage court life. A regent is required to handle its affairs until I come of age.;;;;;;;;;;;;;x
EVTOPTAipcm.012;Keep the current [Root.GetImperialRegentAssignableOffice].;;;;;;;;;;;;;x
EVTOPTBipcm.012;Award the Imperial Office of [Root.GetImperialRegentAssignableOffice] to [Root.GetNewImperialRegent].;;;;;;;;;;;;;x
EVTOPTCipcm.012;Let the nominated [Root.GetImperialRegentAssignableOffice] serve.;;;;;;;;;;;;;x
EVTDESAipcm.013;I have inherited the [Root.PrimaryTitle.GetName] from my predecessor. Now that I have ascended as the [Root.GetTitle], I must decide how I will govern my court...;;;;;;;;;;;;;x
EVTOPTAipcm.013;I will take direct control;;;;;;;;;;;;;x
EVTOPTBipcm.013;I will take direct control;;;;;;;;;;;;;x
EVTOPTCipcm.013;Keep the current [Root.GetImperialRegentAssignableOffice] in place.;;;;;;;;;;;;;x
EVTOPTDipcm.013;Award the Imperial Office of [Root.GetImperialRegentAssignableOffice] to [Root.GetNewImperialRegent];;;;;;;;;;;;;x
EVTOPTEipcm.013;Let the nominated [Root.GetImperialRegentAssignableOffice] serve.;;;;;;;;;;;;;x
EVTDESAipcm.014;I have finally come of age, now I must decide how I will govern my court.;;;;;;;;;;;;;x
EVTOPTAipcm.014;I will take direct control;;;;;;;;;;;;;x
EVTOPTBipcm.014;Keep the [Root.GetImperialRegentAssignableOffice] I assigned;;;;;;;;;;;;;x
EVTDESAipcm.016;You have usurped the [usurped_imperial_title.GetName]. You may choose to take direct control of court life or appoint a [Root.GetImperialRegentAssignableOffice] to handle it in your stead.;;;;;;;;;;;;;x
EVTOPTAipcm.016;I will take direct control;;;;;;;;;;;;;x
EVTOPTBipcm.016;I will take direct control;;;;;;;;;;;;;x
EVTOPTCipcm.016;Keep the current [Root.GetImperialRegentAssignableOffice];;;;;;;;;;;;;x
EVTOPTDipcm.016;Award the Imperial Office of [Root.GetImperialRegentAssignableOffice] to [Root.GetNewImperialRegent];;;;;;;;;;;;;x

EVTDESAipcm.018;Another empire is now under my control. There can only be one empire, so a choice must be made.;;;;;;;;;;;;;x
EVTOPTAipcm.018;The time of [new_empire.GetName] is at an end, [current_empire.GetName] reigns supreme!;;;;;;;;;;;;;x
EVTOPTBipcm.018;The time of change has come. [new_empire.GetName] will be my domain.;;;;;;;;;;;;;x

EVTDESAipcm.019;Another empire is now under my control. There can only be one empire, so a choice must be made.;;;;;;;;;;;;;x
EVTDESBipcm.019;Another empire is now under my control. [new_empire.GetName] already has an established imperial court, if I am to be accepted as [Root.GetTitle] I must ingratiate myself to my new subjects.;;;;;;;;;;;;;x
EVTDESCipcm.019;[new_empire.GetName] has fallen before my horde. This empire had a deeply ingrained Imperial Court system, but such elaborate bureaucracy is of little use to us and our ways.;;;;;;;;;;;;;x
EVTOPTAipcm.019;The time of [new_empire.GetName] is at an end, [current_empire.GetName] reigns supreme!;;;;;;;;;;;;;x
EVTOPTBipcm.019;The time of change has come. [new_empire.GetName] will be my domain.;;;;;;;;;;;;;x
EVTOPTCipcm.019;I shall assume [new_empire.GetName] as my new title.;;;;;;;;;;;;;x
EVTOPTDipcm.019;I care not for these fools. Destroy everything!;;;;;;;;;;;;;x

EVTDESAipcm.020;I now rule another empire and [new_empire.GetName]'s court rivals the size and influence of my own. My advisors urge me to disperse these fools, so that [current_empire.GetName] reigns supreme.;;;;;;;;;;;;;x
EVTOPTAipcm.020;Down with the false empire!;;;;;;;;;;;;;x
EVTOPTBipcm.020;I think I would prefer to be the [Root.GetTitle] of [new_empire.GetName].;;;;;;;;;;;;;x

EVTDESAipcm.021;The Imperial Capital is lost! This is a devastating blow to the empire and to civilization itself. [new_imperial_capital.GetName] will become the new imperial capital.;;;;;;;;;;;;;x
EVTOPTAipcm.021;Very well.;;;;;;;;;;;;;x


###minor titles

#regent
EVTDESAipcm.030;To [Root.GetFullName],\n\nI have decided to award you with the Imperial Office of [FromFrom.GetImperialRegentAssignableOffice] to manage the Imperial Court in my stead. May you rule with wisdom.\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTOPTAipcm.030;I am honored;;;;;;;;;;;;;x
EVTTOOLTIPAipcm.030;You will be responsible for leading the Imperial Court. You can assign missions to any lower ranking member and other Imperial Offices to high-ranking members through targeted decisions.;;;;;;;;;;;;;x
EVTDESAipcm.031;To [Root.GetFullName],\n\nYour services as [FromFrom.GetImperialRegentAssignableOffice] are no longer required, as I will be assuming control myself.\nMay [FromFrom.Religion.GetHighGodName] go with you. \n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTDESBipcm.031;To [Root.GetFullName],\n\nYour services as [FromFrom.GetImperialRegentAssignableOffice] are no longer required. I am now capable to deal with affairs of state myself.\n May [FromFrom.Religion.GetHighGodName] go with you.\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTDESCipcm.031;To [Root.GetFullName],\n\nAs you are no longer a subject of [FromFrom.PrimaryTitle.GetName] you can no longer serve the realm as [FromFrom.GetImperialRegentAssignableOffice].\nMay [FromFrom.Religion.GetHighGodName] go with you.\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTDESDipcm.031;To [Root.GetFullName],\n\nFilthy traitor! I hereby strip you of the Imperial Office of [FromFrom.GetImperialRegentAssignableOffice].\nMay [FromFrom.Religion.GetHighGodName] curse your name!\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTOPTAipcm.031;I see...;;;;;;;;;;;;;x
EVTTOOLTIPAipcm.031;You will no longer be [FromFrom.GetImperialRegentAssignableOffice].;;;;;;;;;;;;;x
EVTOPTBipcm.031;Very well;;;;;;;;;;;;;x
EVTTOOLTIPBipcm.031;You will no longer be [FromFrom.GetImperialRegentAssignableOffice].;;;;;;;;;;;;;x
EVTOPTCipcm.031;Oh well;;;;;;;;;;;;;x
EVTTOOLTIPCipcm.031;You will no longer be [FromFrom.GetImperialRegentAssignableOffice].;;;;;;;;;;;;;x
EVTOPTDipcm.031;Your rule is at an end [FromFrom.GetTitledFirstName]!;;;;;;;;;;;;;x
EVTDESAipcm.032;[Root.GetImperialRegentAssignableOffice] [From.GetFullName] has died in office. I am once again faced with a choice on how to manage the Imperial Court.;;;;;;;;;;;;;x
