#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cumbric;Cumbric;Cumbric;Cumbric;;Cumbric;;;;;;;;;x
cumbric_adj;Cumbric;Cumbric;Cumbric;;Cumbric;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;Islandés;;;;;;;;;x
icelandic_adj;Icelandic;Islandais;Isländisch;;Islandés;;;;;;;;;x
albanian;Albanian;Albanais;Albanisch;;Albanés;;;;;;;;;x
albanian_adj;Albanian;Albanais;Albanisch;;Albanés;;;;;;;;;x
bohemian;Czech;Tchèque;Tschechisch;;Checo;;;;;;;;;x
bohemian_adj;Czech;Tchèque;Tschechisch;;Checo;;;;;;;;;x
slovak;Slovak;Slovaque;Slowakisch;;Eslovaco;;;;;;;;;x
slovak_adj;Slovak;Slovaque;Slowakisch;;Eslovaco;;;;;;;;;x
macedonian;Macedonian;Macédonien;Mazedonisch;;Macedónio;;;;;;;;;x
macedonian_adj;Macedonian;Macédonien;Mazedonisch;;Macedónio;;;;;;;;;x
flemish;Flemish;Flamand;Flämisch;;Flamenco;;;;;;;;;x
flemish_adj;Flemish;Flamand;Flämisch;;Flamenco;;;;;;;;;x
szekely;Székely;Székely;Székely;;Székely;;;;;;;;;x
szekely_adj;Székely;Székely;Székely;;Székely;;;;;;;;;x
old_hungarian;Magyar;Magyar;Magyar;Magiar;;;;;;;;;x
old_hungarian_adj;Magyar;Magyar;Magyar;Magiar;;;;;;;;;x
slovenian;Slovenian;Slovène;Slowenisch;;Esloveno;;;;;;;;;x
slovenian_adj;Slovenian;Slovène;Slowenisch;;Esloveno;;;;;;;;;x
gallo;Gallo;Gallo;Gallo;;Gallo;;;;;;;;;x
gallo_adj;Gallo;Gallo;Gallo;;Gallo;;;;;;;;;x
ruthenian;Ruthenian;Ruthène;Ruthenischen;;Rutenio;;;;;;;;;x
ruthenian_adj;Ruthenian;Ruthène;Ruthenischen;;Rutenio;;;;;;;;;x
manx;Manx;Manx;Manx;;Manx;;;;;;;;;x
manx_adj;Manx;Manx;Manx;;Manx;;;;;;;;;x
bosnian;Bosnian;Bosniaque;Bosnisch;;Bosnio;;;;;;;;;x
